metric,lower_is_better,best_alpha,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
peak_amplitude,True,1.0,0.07112970607850176,0.05623256519658518,0.05915649594145032,0.05427892111951357,0.04592968534020054,0.04514090657211538,0.05044534141924938,0.03920447322830132,0.03561462646736386,0.030356057361213298
peak_to_peak,True,0.6,0.06598726696501546,0.05250191255531762,0.059471885901551676,0.061496613163916476,0.0450716021168645,0.039643997327100056,0.054655369643422526,0.05250807777524498,0.05040914335148848,0.050421702103216635
rms,True,0.1,0.0028914228568753847,0.0029314870880677033,0.0037199072331474876,0.003687741977610368,0.0044893242923615875,0.004654841336336413,0.004932002331189773,0.0057708081211953425,0.006863152247639479,0.0070497897487080755
peak_location_samples,True,0.1,1.0074926702139213,1.2350418069280065,1.3804430448474325,1.697469866435009,2.3333695298077974,1.7042024106851996,1.9137257031165176,2.0616244977739178,2.101911173851667,2.1734716038657838
fwhm_samples,True,0.9,0.2739412845417296,0.1993308766862446,0.2064678635578071,0.22062664744467964,0.2544424818372192,0.09454125774995374,0.13151492931669603,0.13060326679274065,0.07183332678316108,0.1039200592330981
dominant_frequency_hz,True,0.7,1265.854055814964,2334.78119231187,1081.6320990335546,1563.4433706157035,1449.5873601911173,1303.9689434249117,1076.7455749809976,1125.1221631013132,2175.9691606037577,1486.9692691931812
spectral_centroid_hz,True,0.1,796.8578967713763,1257.2288992308124,1238.1057887822847,1127.4979533170551,1717.3930386617933,1018.9079777280709,852.7730934573334,1056.8701583255151,1065.610023820583,1006.3232675025383
spectral_bandwidth_hz,True,0.1,907.8608148442063,1091.045321332372,1576.122394706748,1628.0140791381152,1789.29178285403,1335.641285258416,1216.5156965230058,1218.0879876590864,1795.9466808421637,1850.565353982294
mean_psd_absolute_error,True,0.6,0.0013572470052167773,0.0025870180688798428,0.0015500570880249143,0.0013631153851747513,0.0015067999484017491,0.0011115979868918657,0.002147194929420948,0.0017922191182151437,0.0025107585825026035,0.0021036039106547832
mean_log10_psd_absolute_error,True,0.2,0.20499826967716217,0.20276305079460144,0.21270851790905,0.23259565234184265,0.24736838042736053,0.2431495189666748,0.2278459370136261,0.24144040048122406,0.24669694900512695,0.2538347840309143
NN L2: generated to real,True,0.7,1.1651777029037476,1.165330171585083,1.159841775894165,1.1543158292770386,1.1694297790527344,1.146818995475769,1.128296971321106,1.1373971700668335,1.1327255964279175,1.172256350517273
NN L2: real to generated,True,0.1,1.2543505430221558,1.3166329860687256,1.363852858543396,1.3971762657165527,1.4452613592147827,1.355858564376831,1.4023441076278687,1.5051493644714355,1.525707721710205,1.5332496166229248
